Date,CO2/Mt,NOx/kt,CO/kt,HC/kt
10-01,0.262401158,1.211401709,0.271037422,0.022766252
10-02,0.248478705,1.148290497,0.256493066,0.021657276
10-03,0.253114336,1.170597228,0.26039955,0.022013111
10-04,0.265310916,1.227167241,0.274923575,0.023162322
10-05,0.272483255,1.256163066,0.283577995,0.023839191
10-06,0.279226092,1.285861824,0.289548951,0.024306206
10-07,0.266137896,1.224498006,0.276693561,0.023354559
10-08,0.243124313,1.11539907,0.253378883,0.021248857
10-09,0.231673433,1.069309253,0.23669765,0.019941523
10-10,0.225177676,1.034062329,0.233046276,0.019528151
10-11,0.221722968,1.025919645,0.226741949,0.019041369
10-12,0.227938195,1.05370469,0.234994448,0.019891135
10-13,0.241742345,1.117553958,0.250531337,0.021262377
10-14,0.229880437,1.059701182,0.238365322,0.020168692
10-15,0.242075702,1.11758593,0.249267606,0.021010611
10-16,0.224863162,1.040335555,0.23294488,0.019737419
10-17,0.222354154,1.027682623,0.229002278,0.01926129
10-18,0.225542605,1.048076611,0.229856598,0.019425171
10-19,0.236325839,1.093374253,0.242952345,0.020495879
10-20,0.237100088,1.090319884,0.251229388,0.021313122
10-21,0.234148156,1.079362421,0.242990854,0.020602354
10-22,0.240345885,1.110887116,0.248135264,0.020866246
10-23,0.225968245,1.043614743,0.234487319,0.019824161
10-24,0.22518552,1.041314429,0.232312972,0.01945778
10-25,0.234440686,1.084031497,0.242595892,0.020330889
10-26,0.23532854,1.081204377,0.247797573,0.020873291
10-27,0.246066749,1.131114072,0.259041126,0.02190239
10-28,0.229757495,1.057590425,0.238890941,0.020227136
10-29,0.236930606,1.088617785,0.246097443,0.020809026
10-30,0.225743546,1.037722424,0.236183389,0.019993279
10-31,0.218467197,1.004013589,0.227303807,0.019201778
