Airline,CO2,NOx,CO,HC
China Southern Airlines,1302.170626,6184.300058,1248.251307,102.5381728
China Eastern Airlines,1067.693055,4911.460475,1167.934339,101.6789738
Air China,901.7489107,4177.623894,1035.405619,78.24689381
Hainan Airlines,465.3684637,2203.120262,342.7343389,25.81308313
Shenzhen Airlines,383.729472,1720.37993,400.979446,35.84663638
Sichuan Airlines,360.3621761,1708.040699,384.9946211,32.54408252
Xiamen Airlines,329.7882023,1533.433462,255.867029,21.91367038
Shandong Airlines,227.7713237,1036.013713,186.9113023,17.06699228
Juneyao Airlines,164.991815,743.9859854,181.686346,14.15152773
Beijing Capital Airlines,154.3313488,713.5092522,174.1061896,15.41343002
Shanghai Airlines,134.7432918,614.1637109,147.3009508,13.74285004
Zhejiang Loong Airlines,133.1315672,620.4426157,154.2785001,14.81745552
China United Airlines,126.818199,591.221175,99.86868218,8.539693058
Lucky Air,114.6249266,515.9490846,113.9798457,9.951314756
Spring Airlines,111.5062871,483.0000015,144.9542363,13.72333304
Chengdu Airlines,106.3893444,443.9114724,149.477395,12.59260441
Tianjin Airlines,104.0275867,426.7332121,147.4731338,11.83817924
China West Air,86.34978994,381.9779195,104.3653255,9.152727087
China Express Airlines,63.85153696,257.9212894,103.7777246,8.303828229
Tibet Airlines,60.48201747,247.8419759,77.38727631,3.794517714
Kunming Airlines,57.65284432,262.55955,46.57053391,4.27883087
Qingdao Airlines,51.82014227,230.3054272,62.61463693,5.369902698
Ruili Airlines,48.23474078,216.8132793,50.31769244,4.728881433
Hebei Airlines,46.91519628,212.5937812,39.75622448,3.696280402
9 Air,45.31117766,201.8630935,38.37594041,3.448114742
Colorful Guizhou Airlines,44.40136562,245.067271,39.22093351,4.274674409
Donghai Airlines,43.97347357,202.4222636,37.7107423,3.505565706
Okay Airways,43.94359702,197.788382,48.65798705,4.589951436
Fuzhou Airlines,39.55771396,180.9902218,30.64721798,2.78871703
Guangxi Beibu Gulf Airlines,35.00185927,143.1556387,51.08235646,4.229711681
Air Travel,34.71045123,160.59741,38.03175247,3.379812046
Urumqi Air,30.23370352,133.7339907,23.23763517,2.072560044
Dalian Airlines,25.58618741,113.0923046,23.92801597,1.903898772
Suparna Airlines,24.688648,110.3382829,20.46095901,1.861594174
Jiangxi Air,23.9791526,104.7804255,22.55242458,1.871349394
Air Changan,23.00986645,103.5099182,19.76467025,1.815200554
Air Guilin,22.14365664,93.08677886,29.40140673,2.413212324
Air China Inner Mongolia,20.448097,91.98501907,18.15095669,1.682378916
LongJiang Airlines,11.99165583,58.22461703,12.53071923,1.235504918
Joy Air,10.97236139,48.73524371,9.71853502,0.879932308
Beijing Airlines,4.348089492,20.77754698,3.372913414,0.328506812
